Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
31,What is the maximum duration of a Sprint Planning meeting for a one-month Sprint?,2 hours.,4 hours.,8 hours.,12 hours.,C,The maximum duration of a Sprint Planning meeting for a one-month Sprint is 8 hours. This meeting is crucial for setting up the Sprint and ensuring that all team members understand the work ahead.
32,Who is responsible for ensuring that the Scrum Team adheres to Scrum practices?,The Scrum Master.,The Product Owner.,The Development Team.,The CEO.,A,The Scrum Master is responsible for ensuring that the Scrum Team adheres to Scrum practices. They facilitate Scrum events and help the team follow the Scrum framework effectively.
33,What should the Scrum Team do if they identify a major risk during a Sprint?,Immediately stop the Sprint.,Adjust the Sprint Goal.,Document the risk and discuss it in the next Sprint Retrospective.,Raise the issue to the Product Owner and collaborate on a solution.,D,If the Scrum Team identifies a major risk during a Sprint they should raise the issue to the Product Owner and collaborate on a solution. The Product Owner and team will work together to address the risk.
34,What is the focus of the Sprint Review?,To assess the work completed and plan for the next Sprint.,To review the work done and gather feedback from stakeholders.,To evaluate the performance of the Scrum Team.,To plan the tasks for the upcoming Sprint.,B,The focus of the Sprint Review is to review the work done and gather feedback from stakeholders. This meeting helps ensure that the Increment meets stakeholder expectations and provides a basis for future work.
35,How should changes to the Product Backlog be handled during a Sprint?,Changes are not allowed during a Sprint.,The Scrum Master should make the changes.,The Product Owner may adjust the Product Backlog as needed.,The Development Team decides on the changes.,C,The Product Owner may adjust the Product Backlog as needed during a Sprint. This ensures that the backlog remains relevant and reflects the most current priorities and information.
36,What is the purpose of the Scrum Master's role in a Sprint Retrospective?,To facilitate the meeting and encourage open discussion.,To evaluate the Scrum Team's performance.,To present the Increment.,To plan the next Sprint.,A,The purpose of the Scrum Master's role in a Sprint Retrospective is to facilitate the meeting and encourage open discussion. This helps the team reflect on their processes and identify areas for improvement.
37,How is the Increment defined in Scrum?,The sum of all completed Product Backlog items.,The total number of tasks completed in a Sprint.,The number of features delivered.,The amount of work done.,A,The Increment is defined as the sum of all completed Product Backlog items. It represents the value delivered to the customer and is a key output of the Scrum process.
38,Who is responsible for ensuring that the Scrum Team has a clear and actionable Sprint Goal?,The Product Owner.,The Scrum Master.,The Development Team.,The Scrum Team.,B,The Scrum Master is responsible for ensuring that the Scrum Team has a clear and actionable Sprint Goal. The Sprint Goal provides focus and direction for the team during the Sprint.
39,What is the primary purpose of a Sprint Review?,To demonstrate the completed work and gather feedback.,To plan the next Sprint.,To inspect the Increment and adapt the Product Backlog.,To conduct a detailed review of the Sprint.,A,The primary purpose of a Sprint Review is to demonstrate the completed work and gather feedback. This helps the team ensure that the work aligns with stakeholder expectations and informs future planning.
40,What is the key characteristic of a Scrum Team?,Self-organizing and cross-functional.,Hierarchical and specialized.,Divided into sub-teams for efficiency.,Focused on individual tasks.,A,A key characteristic of a Scrum Team is that it is self-organizing and cross-functional. This means that the team members work together to accomplish their goals and possess all the skills necessary to complete their work.
41,How often should the Scrum Team hold Sprint Retrospectives?,At the end of every Sprint.,At the end of every project.,Every two weeks.,Monthly.,A,The Scrum Team should hold Sprint Retrospectives at the end of every Sprint. This regular reflection helps the team continually improve their processes and performance.
42,Who is responsible for maximizing the value of the product resulting from the work of the Scrum Team?,The Product Owner.,The Scrum Master.,The Development Team.,The Project Manager.,A,The Product Owner is responsible for maximizing the value of the product resulting from the work of the Scrum Team. They prioritize the Product Backlog and ensure that the team is working on the most valuable features.
43,What is the role of the Development Team during the Sprint?,"To deliver a potentially releasable Increment of ""Done"" product.",To manage the Scrum process.,To gather requirements from stakeholders.,To review the team's performance.,A,"The role of the Development Team during the Sprint is to deliver a potentially releasable Increment of ""Done"" product. They work on completing the Product Backlog items and ensure that the Increment meets the Definition of Done."
44,"How does the Scrum Guide define ""Done""?",The state of the Increment when it meets the Definition of Done.,The state of the Increment when it is completed.,The state of the product when it is ready for release.,The state of the Sprint when all tasks are finished.,A,Done is defined as the state of the Increment when it meets the Definition of Done. This means that the work is complete meets quality standards and is ready for release or further use.
45,Who should attend the Sprint Planning meeting?,The Scrum Team and relevant stakeholders.,The Scrum Team and Product Owner.,The Development Team and Product Owner.,The Scrum Master and Product Owner.,B,The Scrum Team and Product Owner should attend the Sprint Planning meeting. This meeting is essential for setting the Sprint Goal and planning the work to be done in the Sprint.
46,What happens if the Development Team cannot complete all items in the Sprint Backlog?,The incomplete items are moved to the next Sprint.,The Scrum Master decides on the next steps.,The Product Owner removes the incomplete items.,The team discusses the reasons in the Sprint Retrospective.,A,If the Development Team cannot complete all items in the Sprint Backlog the incomplete items are typically moved to the next Sprint. The team reviews and re-prioritizes these items as needed.
47,What is the main focus of the Scrum Master during a Sprint?,To remove impediments and help the team follow Scrum practices.,To manage the project schedule.,To define the project scope.,To allocate tasks to team members.,A,The main focus of the Scrum Master during a Sprint is to remove impediments and help the team follow Scrum practices. They ensure that the team can work effectively and that Scrum processes are adhered to.
48,What is the purpose of the Sprint Goal?,To provide a clear focus for the Scrum Team during the Sprint.,To outline all tasks for the Sprint.,To set deadlines for project milestones.,To determine the budget for the Sprint.,A,The purpose of the Sprint Goal is to provide a clear focus for the Scrum Team during the Sprint. It guides the team’s efforts and helps ensure that all work contributes to a common objective.
49,How should the Scrum Team handle external dependencies that affect their work?,Discuss and address them with relevant stakeholders.,Ignore them if they are not within the team's control.,Delegate them to the Scrum Master.,Handle them only during the Sprint Review.,A,The Scrum Team should discuss and address external dependencies with relevant stakeholders. Effective communication and collaboration help manage dependencies and ensure that they do not impede the team's progress.
50,What is a key benefit of Scrum's iterative approach?,It allows for regular inspection and adaptation of the product.,It guarantees that all project requirements are met.,It ensures that the project is completed on time.,It eliminates the need for customer feedback.,A,A key benefit of Scrum's iterative approach is that it allows for regular inspection and adaptation of the product. This iterative process helps teams respond to changes and continuously improve the product based on feedback and evolving requirements.
